linha;legacyId;numeroEdital;processoAdministrativo;protocolo;modalidade;secretaria;statusLegado;motivoCodigo;motivo;processoInternoRelacionado;origemProcessoRelacionado;objetoResumo
"22";"64";"PE-025-2023";"1794/2022";"21399/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0014/2022 / MANUAL).";"0014/2022";"MANUAL";"FORNECIMENTO DE MATERIAL DE CONSUMO: EPI'S e EPC'S PARA ADM E PLANEJAMENTO"
"27";"69";"PE-013-2023";"2150/2022";"30381/2022";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0011/2022 / MANUAL).";"0011/2022";"MANUAL";"AQUISIÇÃO DE MATERIAL DE CONSUMO (FERRAMENTAS) PARA SEINFRA"
"28";"70";"PE-028-2023";"1642/2022";"15830/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0013/2022 / MANUAL).";"0013/2022";"MANUAL";"SERVIÇO DE CONFECÇÃO DE CRACHÁS EM PVC PARA ADM E PLANEJAMENTO."
"30";"72";"PE-011-2023";"1896/2022";"21827/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0009/2022 / MANUAL).";"0009/2022";"MANUAL";"AQUISIÇÃO DE APARELHO AR-CONDICIONADO DE 36000 BTU'S"
"35";"77";"PE-014-2023";"1294/2022";"11993/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0010/2022 / MANUAL).";"0010/2022";"MANUAL";"SECADORA INDUSTRIAL PARA LAVANDERIA HOSPITALAR"
"41";"86";"PE-016-2023";"2398/2022";"401/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0012/2022 / MANUAL).";"0012/2022";"MANUAL";"AQUISIÇÃO DE ARMÁRIO MULTIUSO E MESA INFANTIL SEXTAVADA, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE EDUCAÇÃO E CULTURA."
"42";"87";"PE-018-2023";"1806/2022";"22767/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0015/2022 / MANUAL).";"0015/2022";"MANUAL";"Fornecimento de material de consumo (ARSENAL CIRÚRGICO PARA REALIZAÇÃO DE CIRURGIAS ORTOPÉDICAS), A FIM DE ATENDER AS DEMANDAS DA SEC. DE SAÚDE"
"52";"100";"PE-032-2023";"77/2023";"2395/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0031/2023 / MANUAL).";"0031/2023";"MANUAL";"AQUISIÇÃO DE MATERIAL PERMANENTE MÉDICO ODONTOLÓGICO: COMPRESSOR DE AR, CADEIRA, NEGATOSCÓPIO, PONTAS DE UTRASSOM E RAIO X, A FIM DE ATENDER AS DEMANDAS DA SAÚDE"
"53";"101";"PE-020-2023";"98/2023";"2849/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0004/2023 / MANUAL).";"0004/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO E MANUTENÇÃO DE GESSO COM MATERIAL INCLUSO, A FIM DE ATENDER A SEINFRA."
"54";"102";"PE-023-2023";"170/2023";"4317/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0003/2023 / MANUAL).";"0003/2023";"MANUAL";"AQUISIÇÃO DE CONJUNTO ALUNO INFANTIL, JUVENIL E ADULTO, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA"
"56";"104";"PE-033-2023";"107/2023";"3466/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0009/2023 / MANUAL).";"0009/2023";"MANUAL";"AQUISIÇÃO DE CATÉTERES E DRENOS, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE."
"59";"107";"PE-030-2023";"117/2023";"3260/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Revogado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0011/2023 / MANUAL).";"0011/2023";"MANUAL";"FORNECIMENTO DE KIT CARTUCHO PARA IMPRESSORA PLOTTER, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO"
